ID,Academic Background,Major,Interests,Skills,Job Position,Salary (SAR/month),Certifications,Tools,Job Description,Suggested Learning Path
584,Business,Project Management,"Consulting, Digital Marketing, Business Strategy","Project Management, E-commerce, Advertising, Financial Analysis",Fintech Business Analyst,16875 - 45000 SAR,"Fintech & Blockchain Certification, AI in Finance","Asana, Trello, HubSpot",Bridges finance and technology by working with developers to optimize fintech solutions and ensure regulatory compliance.,"Blockchain & Cryptocurrency Fundamentals, AI in Financial Services, RegTech & Compliance"
585,Business,Marketing,"Entrepreneurship, Digital Marketing, Consulting","Market Research, SEO, Project Management, Excel",Fintech Business Analyst,20625 - 56250 SAR,"None, AI in Finance","Hootsuite, Slack, HubSpot",Bridges finance and technology by working with developers to optimize fintech solutions and ensure regulatory compliance.,"Blockchain & Cryptocurrency Fundamentals, AI in Financial Services, RegTech & Compliance"
586,Technology,AI & Robotics,"Blockchain, Data Science, Web Development","Cybersecurity, Data Analysis, iOS Development, Kubernetes",AI Engineer,15000 - 45000 SAR,"TensorFlow Developer Certificate, None","Oracle Cloud, Apache Spark, MATLAB","Develops AI and machine learning models for smart city projects, autonomous vehicles, and intelligent customer service applications tailored to Saudi businesses.","Neural Networks and Deep Learning, AI for Business, Reinforcement Learning"
587,Technology,Data Science,"Web Development, Machine Learning, Data Science","React, C++, TensorFlow, Data Analysis",Frontend Developer,15000 - 45000 SAR,"Google Mobile Web Specialist, Certified JavaScript Developer","Apache Spark, Oracle Cloud, Microsoft Azure","Designs and builds user-friendly interfaces in Arabic and English, ensuring accessibility and responsiveness for Saudi-based web platforms and mobile applications.","JavaScript Mastery, React.js Development, Web Performance Optimization"
588,Design,Graphic Design,"3D Design, Motion Graphics, Branding","Wireframing, After Effects, 3D Animation, Illustrator",3D Artist,18750 - 52500 SAR,"Blender Certification, None","Affinity Designer, Maya, Blender","Designs 3D assets for gaming, architectural visualization, and media production in Saudi Arabia, using tools like Blender and Cinema 4D.",General Career Development
589,Design,UI/UX,"Illustration, Motion Graphics, 3D Design","Wireframing, Illustrator, Graphic Design, Sketch",Motion Graphics Designer,13125 - 37500 SAR,"Adobe After Effects Certification, Motion Graphics Pro","Canva, Blender, Procreate","Produces animated content for advertising agencies, entertainment companies, and digital media projects in Saudi Arabia.",General Career Development
590,Technology,Computer Science,"Blockchain, Machine Learning, App Development","Android Development, SQL, Java, C++",Data Scientist,26250 - 67500 SAR,"None, AWS Data Analytics","Docker, GitHub, Power BI","Analyzes large datasets relevant to Saudi Arabia's industries such as oil and gas, banking, and retail. Develops AI-driven insights to improve business decisions and customer experiences.","Machine Learning with Python, Deep Learning Specialization, Big Data Analytics"
591,Design,Graphic Design,"Motion Graphics, Illustration, Branding","Adobe Photoshop, Typography, Sketch, Wireframing",UI/UX Designer,16875 - 45000 SAR,"Google UX Design Certificate, Adobe Certified Expert","Canva, Krita, Adobe XD","Creates user-friendly interfaces with a focus on bilingual (Arabic-English) design, accessibility, and cultural preferences. Works with Saudi fintech, healthcare, and retail industries.","User Research Methods, Design Systems & Prototyping, Figma & Adobe XD Mastery"
592,Technology,Software Engineering,"App Development, Cloud Computing, Web Development","Cloud Computing, SQL, Blockchain, Swift",Data Scientist,15000 - 45000 SAR,"None, Google Data Analytics Certificate","Oracle Cloud, Arduino, Tableau","Analyzes large datasets relevant to Saudi Arabia's industries such as oil and gas, banking, and retail. Develops AI-driven insights to improve business decisions and customer experiences.","Machine Learning with Python, Deep Learning Specialization, Big Data Analytics"
593,Design,Graphic Design,"Branding, UI/UX, Illustration","Blender, Brand Identity, Illustrator, Graphic Design",UI/UX Designer,13125 - 37500 SAR,"None, Google UX Design Certificate","Canva, Procreate, Krita","Creates user-friendly interfaces with a focus on bilingual (Arabic-English) design, accessibility, and cultural preferences. Works with Saudi fintech, healthcare, and retail industries.","User Research Methods, Design Systems & Prototyping, Figma & Adobe XD Mastery"
594,Business,Marketing,"Entrepreneurship, Consulting, Digital Marketing","Project Management, Negotiation, Financial Analysis, Market Research",Sales Manager,22500 - 60000 SAR,"Salesforce Certification, None","Salesforce, Slack, Hootsuite","Leads sales teams for multinational and local businesses in Saudi Arabia, develops partnerships, and drives revenue growth.","Advanced Negotiation Skills, CRM & Sales Automation, B2B Marketing Strategies"
595,Business,Project Management,"Consulting, Business Strategy, Sales","Financial Analysis, Presentation Skills, Google Analytics, Social Media Marketing",Business Analyst,20625 - 56250 SAR,"None, Data Analytics Certificate","Microsoft Power BI, Google Analytics, Oracle ERP","Analyzes market trends in Saudi Arabia, provides data-driven recommendations to companies, and optimizes business operations for growth.","Data Visualization for Business, SQL for Business Analytics, Excel Power Query"
596,Design,Graphic Design,"UI/UX, Motion Graphics, Illustration","Blender, UI/UX Research, Wireframing, Product Prototyping",Product Designer,18750 - 52500 SAR,"None, Certified Design Thinking Professional","Maya, CorelDRAW, Figma",Combines UI/UX and industrial design principles to develop consumer products and digital experiences optimized for the Saudi market.,"Product Thinking & Strategy, Prototyping with Figma, 3D Product Visualization"
597,Business,Finance,"Digital Marketing, Entrepreneurship, Sales","Google Analytics, Advertising, Presentation Skills, Social Media Marketing",Strategy Consultant,22500 - 60000 SAR,"Certified Strategy Consultant, Six Sigma Black Belt","Oracle ERP, Monday.com, Microsoft Power BI","Provides expert advice to businesses entering the Saudi market, focusing on regulatory compliance, market expansion, and financial strategies.","Business Strategy & Competitive Analysis, Financial Modeling, Market Research & Consulting"
598,Technology,Computer Science,"Web Development, App Development, Data Science","React, TensorFlow, iOS Development, C++",AI Engineer,18750 - 56250 SAR,"TensorFlow Developer Certificate, Google ML Certification","Oracle Cloud, Tableau, Microsoft Azure","Develops AI and machine learning models for smart city projects, autonomous vehicles, and intelligent customer service applications tailored to Saudi businesses.","Neural Networks and Deep Learning, AI for Business, Reinforcement Learning"
599,Design,Animation,"Motion Graphics, Illustration, UI/UX","UI/UX Research, Sketch, Figma, Motion Graphics",3D Artist,18750 - 52500 SAR,"3D Animation Certificate, Blender Certification","Cinema 4D, Krita, Figma","Designs 3D assets for gaming, architectural visualization, and media production in Saudi Arabia, using tools like Blender and Cinema 4D.",General Career Development
600,Design,Animation,"Branding, UI/UX, Illustration","Product Prototyping, Motion Graphics, Brand Identity, Typography",Motion Graphics Designer,13125 - 37500 SAR,"Motion Graphics Pro, None","CorelDRAW, Procreate, ZBrush","Produces animated content for advertising agencies, entertainment companies, and digital media projects in Saudi Arabia.",General Career Development
601,Design,Graphic Design,"Illustration, UI/UX, 3D Design","Sketch, UI/UX Research, Cinema 4D, After Effects",Motion Graphics Designer,18750 - 52500 SAR,"Motion Graphics Pro, None","Krita, Cinema 4D, Adobe XD","Produces animated content for advertising agencies, entertainment companies, and digital media projects in Saudi Arabia.",General Career Development
602,Design,Animation,"Illustration, Motion Graphics, Branding","Sketch, Typography, Illustrator, After Effects",UX Engineer,16875 - 45000 SAR,None,"Sketch, Procreate, ZBrush","Combines user experience design principles with front-end development, focusing on creating interactive and accessible digital experiences.",General Career Development
603,Technology,Data Science,"Machine Learning, Data Science, Web Development","Data Analysis, Cybersecurity, iOS Development, Cloud Computing",Software Engineer,26250 - 67500 SAR,"None, Microsoft Azure Developer","TensorFlow, Tableau, GitHub","Develops software applications tailored to the Saudi market, ensuring compliance with local business regulations and user needs. Works on web and mobile applications for fintech, government, and e-commerce platforms.","Advanced Python Programming, Full-Stack Web Development, Software Architecture"
604,Design,Product Design,"UI/UX, 3D Design, Branding","Product Prototyping, Blender, Cinema 4D, Wireframing",UX Engineer,18750 - 52500 SAR,None,"Procreate, Canva, CorelDRAW","Combines user experience design principles with front-end development, focusing on creating interactive and accessible digital experiences.",General Career Development
605,Technology,Data Science,"Cloud Computing, Blockchain, Machine Learning","Cloud Computing, Cybersecurity, Blockchain, C++",Frontend Developer,26250 - 67500 SAR,"Google Mobile Web Specialist, Certified JavaScript Developer","MATLAB, Arduino, Google Cloud","Designs and builds user-friendly interfaces in Arabic and English, ensuring accessibility and responsiveness for Saudi-based web platforms and mobile applications.","JavaScript Mastery, React.js Development, Web Performance Optimization"
606,Design,Graphic Design,"3D Design, Illustration, Branding","UI/UX Research, Graphic Design, Motion Graphics, Wireframing",3D Artist,13125 - 37500 SAR,"Blender Certification, 3D Animation Certificate","Adobe XD, Canva, Procreate","Designs 3D assets for gaming, architectural visualization, and media production in Saudi Arabia, using tools like Blender and Cinema 4D.",General Career Development
607,Technology,Computer Science,"Blockchain, Web Development, App Development","Machine Learning, Cloud Computing, Kubernetes, AWS",Software Engineer,26250 - 67500 SAR,"None, Microsoft Azure Developer","Google Cloud, Tableau, TensorFlow","Develops software applications tailored to the Saudi market, ensuring compliance with local business regulations and user needs. Works on web and mobile applications for fintech, government, and e-commerce platforms.","Advanced Python Programming, Full-Stack Web Development, Software Architecture"
